condition,A,W,rep,side,mt_ms,hit
1,150,20,1,R,1289.4,1
1,150,20,2,L,671.9,1
1,150,20,3,R,888.4,1
1,150,20,4,L,692.4,1
1,150,20,5,R,701.1,1
1,150,20,6,L,857.7,0
1,150,20,7,R,738.7,1
1,150,20,8,L,825.5,1
1,150,20,9,R,653.9,1
1,150,20,10,L,660.2,1
2,450,50,1,L,782.4,1
2,450,50,2,R,630.8,1
2,450,50,3,L,585.9,1
2,450,50,4,R,579.6,1
2,450,50,5,L,624.9,1
2,450,50,6,R,631.1,1
2,450,50,7,L,569.3,1
2,450,50,8,R,498.4,1
2,450,50,9,L,790.5,1
2,450,50,10,R,709.4,1
3,300,50,1,R,811.1,1
3,300,50,2,L,507.1,1
3,300,50,3,R,465.9,1
3,300,50,4,L,1121.9,1
3,300,50,5,R,458.1,1
3,300,50,6,L,455.9,1
3,300,50,7,R,541.9,1
3,300,50,8,L,1070.7,1
3,300,50,9,R,628.8,1
3,300,50,10,L,533.6,1
4,150,100,1,R,554.8,1
4,150,100,2,L,366.0,1
4,150,100,3,R,291.4,1
4,150,100,4,L,316.1,1
4,150,100,5,R,306.6,1
4,150,100,6,L,348.2,1
4,150,100,7,R,326.1,1
4,150,100,8,L,381.2,1
4,150,100,9,R,367.4,1
4,150,100,10,L,347.5,1
5,300,100,1,L,535.9,1
5,300,100,2,R,447.2,1
5,300,100,3,L,574.7,1
5,300,100,4,R,429.3,1
5,300,100,5,L,469.9,1
5,300,100,6,R,482.2,1
5,300,100,7,L,425.4,1
5,300,100,8,R,473.7,1
5,300,100,9,L,433.7,1
5,300,100,10,R,379.3,1
6,150,50,1,R,784.2,1
6,150,50,2,L,543.8,1
6,150,50,3,R,384.4,1
6,150,50,4,L,384.4,1
6,150,50,5,R,376.1,1
6,150,50,6,L,988.0,1
6,150,50,7,R,388.6,1
6,150,50,8,L,430.5,1
6,150,50,9,R,902.5,1
6,150,50,10,L,580.8,1
7,450,20,1,L,870.8,1
7,450,20,2,R,1009.4,1
7,450,20,3,L,780.7,1
7,450,20,4,R,655.2,1
7,450,20,5,L,676.9,1
7,450,20,6,R,658.5,1
7,450,20,7,L,848.3,1
7,450,20,8,R,945.9,1
7,450,20,9,L,1084.3,1
7,450,20,10,R,934.8,1
8,450,100,1,L,561.0,1
8,450,100,2,R,562.3,1
8,450,100,3,L,389.3,1
8,450,100,4,R,443.4,1
8,450,100,5,L,695.6,1
8,450,100,6,R,499.8,1
8,450,100,7,L,450.3,1
8,450,100,8,R,444.0,1
8,450,100,9,L,407.0,1
8,450,100,10,R,1061.4,1
9,300,20,1,L,1222.4,1
9,300,20,2,R,822.6,1
9,300,20,3,L,966.8,1
9,300,20,4,R,1036.2,1
9,300,20,5,L,889.0,1
9,300,20,6,R,848.3,1
9,300,20,7,L,738.7,1
9,300,20,8,R,775.9,1
9,300,20,9,L,847.9,1
9,300,20,10,R,971.5,1
