condition,A,W,rep,side,mt_ms,hit
1,300,20,1,L,1480.0,1
1,300,20,2,R,615.0,1
1,300,20,3,L,434.0,1
1,300,20,4,R,417.0,0
1,300,20,5,L,399.0,1
1,300,20,6,R,767.0,1
1,300,20,7,L,499.0,1
1,300,20,8,R,1799.0,1
1,300,20,9,L,930.0,1
1,300,20,10,R,1220.0,1
2,450,20,1,R,535.0,1
2,450,20,2,L,1784.0,1
2,450,20,3,R,1316.0,1
2,450,20,4,L,1033.0,1
2,450,20,5,R,917.0,1
2,450,20,6,L,499.0,1
2,450,20,7,R,500.0,0
2,450,20,8,L,482.0,1
2,450,20,9,R,1917.0,1
2,450,20,10,L,581.0,1
3,300,50,1,R,501.0,1
3,300,50,2,L,380.0,1
3,300,50,3,R,386.0,1
3,300,50,4,L,281.0,1
3,300,50,5,R,385.0,1
3,300,50,6,L,280.0,1
3,300,50,7,R,333.0,1
3,300,50,8,L,333.0,1
3,300,50,9,R,352.0,1
3,300,50,10,L,364.0,1
4,450,100,1,L,499.0,1
4,450,100,2,R,299.0,1
4,450,100,3,L,268.0,1
4,450,100,4,R,250.0,1
4,450,100,5,L,166.0,1
4,450,100,6,R,232.0,1
4,450,100,7,L,167.0,1
4,450,100,8,R,200.0,1
4,450,100,9,L,150.0,1
4,450,100,10,R,182.0,1
5,450,50,1,L,584.0,1
5,450,50,2,R,332.0,1
5,450,50,3,L,234.0,1
5,450,50,4,R,166.0,1
5,450,50,5,L,200.0,1
5,450,50,6,R,148.0,1
5,450,50,7,L,183.0,1
5,450,50,8,R,166.0,1
5,450,50,9,L,185.0,1
5,450,50,10,R,148.0,1
6,150,100,1,L,566.0,1
6,150,100,2,R,214.0,1
6,150,100,3,L,235.0,1
6,150,100,4,R,117.0,1
6,150,100,5,L,184.0,1
6,150,100,6,R,115.0,1
6,150,100,7,L,384.0,1
6,150,100,8,R,114.0,1
6,150,100,9,L,219.0,1
6,150,100,10,R,215.0,1
7,150,50,1,L,647.0,1
7,150,50,2,R,385.0,1
7,150,50,3,L,267.0,1
7,150,50,4,R,230.0,1
7,150,50,5,L,484.0,1
7,150,50,6,R,200.0,1
7,150,50,7,L,233.0,1
7,150,50,8,R,144.0,1
7,150,50,9,L,254.0,1
7,150,50,10,R,149.0,1
8,300,100,1,R,500.0,1
8,300,100,2,L,233.0,1
8,300,100,3,R,151.0,1
8,300,100,4,L,531.0,1
8,300,100,5,R,251.0,1
8,300,100,6,L,449.0,1
8,300,100,7,R,199.0,1
8,300,100,8,L,217.0,1
8,300,100,9,R,167.0,1
8,300,100,10,L,164.0,1
9,150,20,1,R,944.0,1
9,150,20,2,L,980.0,1
9,150,20,3,R,705.0,1
9,150,20,4,L,397.0,1
9,150,20,5,R,399.0,1
9,150,20,6,L,416.0,1
9,150,20,7,R,385.0,1
9,150,20,8,L,865.0,1
9,150,20,9,R,799.0,0
9,150,20,10,L,400.0,1
